King,'s station be,Harry Ron
Platform,enter miss,Hogwarts Express
Mr Weasley 's car Hogwarts,crash,Whomping Willow school grounds
Ron,have,hand down wand
Mr Weasley,have,car Hogwarts
Mr Weasley 's car Hogwarts,crash,Whomping Willow school grounds damaging
Harry Ron,fly,Mr Weasley 's car Hogwarts
car,escapes,forest
Harry,learns,community disdain Muggle born wizards believing
Harry,learns,wizarding community disdain born wizards believing
Harry,learns,community disdain Muggle born wizards like Hermione believing
Harry,learns,wizarding community disdain wizards believing
Harry,learns,wizarding community disdain Muggle born wizards
Harry,learns,wizarding community disdain Muggle born wizards like Hermione
Harry,learns,community disdain wizards like Hermione
Harry,learns,wizarding community disdain Muggle born wizards like Hermione believing
Harry,learns,wizarding community disdain born wizards like Hermione
Harry,learns,community disdain Muggle born wizards like Hermione
Harry,learns,wizarding community disdain wizards like Hermione believing
Harry,learns,community disdain born wizards like Hermione
Harry,learns,wizarding community disdain born wizards like Hermione believing
Harry,learns,wizarding community disdain Muggle born wizards believing
Harry,learns,community disdain Muggle born wizards
Harry,learns,community disdain wizards
Harry,learns,wizarding community disdain wizards
Harry,learns,community disdain wizards like Hermione believing
Harry,learns,wizarding community disdain born wizards
Harry learns,be,superior
Harry,learns,community disdain wizards believing
Harry,learns,community disdain born wizards like Hermione believing
Harry,learns,wizarding community disdain wizards like Hermione
Harry,learns,community disdain born wizards believing
Harry,learns,community disdain born wizards
Chamber Secrets,be,opened
Mr Filch 's cat,be,Soon found
Mr Filch,'s cat be,Mrs Norris
Mr Filch 's cat,be,found
Mr Filch,have,cat
Chamber dispute fellow founders,admit,Muggle born students
created Chamber dispute fellow founders,admit,born students
created Chamber dispute fellow founders,admit,Muggle born students
created Chamber dispute fellow founders,admit,students
one school,have,founders
Chamber dispute fellow founders,admit,students
Chamber dispute fellow founders,admit,born students
Chamber,houses,monster Heir Slytherin
Chamber,supposedly houses,monster Heir Slytherin
rogue Bludger,strikes,Harry
rogue Bludger,strikes,twelve year old Harry arm
rogue Bludger,strikes,breaking Harry arm
rogue Bludger,strikes,breaking twelve year old Harry arm
rogue Bludger,strikes,Harry arm
year old Harry blunders,attempt,repair sending
year old Harry blunders,attempt,repair sending overnight
twelve year old Harry blunders,attempt,repair
twelve year old Harry blunders,attempt,repair sending
twelve year old Harry blunders,attempt,repair sending overnight
year old Harry blunders,attempt,repair
portal King,have,Cross
twelve year old Harry jinxed Bludger,seal,King 's Cross
year old Harry jinxed Bludger,seal,King 's Cross
twelve year old Harry jinxed Bludger,seal,portal King 's Cross
Dobby,visits,Harry
year old Harry jinxed Bludger,seal,portal King 's Cross
Harry,spontaneously exhibits,rare ability
Harry,spontaneously exhibits,ability speak
students,attend,duelling class
Harry,exhibits,rare ability
Harry,exhibits,ability speak
Harry,exhibits,rare ability speak
Harry,exhibits,ability
Harry,spontaneously exhibits,rare ability speak
students,attend,defensive duelling class
Harry,spontaneously exhibits,ability
Harry,be Heir give,hostility
Harry,be,Heir
Harry,be Heir give,hostility toward Muggle borns
Hermione,secretly brews,Polyjuice Potion
Hermione,brews,Polyjuice Potion allowing
